    0   0.0000     5.080072    -0.000075
    1   0.0028     5.079922    -0.000459
    2   0.0056     5.079153    -0.000570
    3   0.0083     5.078783    -0.000805
    4   0.0111     5.077542    -0.001012
    5   0.0139     5.076759    -0.001286
    6   0.0167     5.074971    -0.001669
    7   0.0194     5.073421    -0.002298
    8   0.0222     5.070376    -0.003010
    9   0.0250     5.067402    -0.003967
   10   0.0278     5.062441    -0.005247
   11   0.0306     5.056907    -0.007132
   12   0.0333     5.048178    -0.009506
   13   0.0361     5.037896    -0.012729
   14   0.0389     5.022720    -0.017001
   15   0.0417     5.003894    -0.022976
   16   0.0444     4.976768    -0.030794
   17   0.0472     4.942306    -0.041478
   18   0.0500     4.893812    -0.055756
   19   0.0528     4.830793    -0.075440
   20   0.0556     4.742932    -0.101538
   21   0.0583     4.627716    -0.137183
   22   0.0611     4.468566    -0.184834
   23   0.0639     4.258048    -0.250505
   24   0.0667     3.967556    -0.337775
   25   0.0694     3.582497    -0.458426
   26   0.0722     3.050704    -0.609764
   27   0.0750     2.362969    -0.838104
   28   0.0778     1.374496    -1.178841
   29   0.0806     0.005286    -1.400330
   30   0.0833    -1.426163    -1.377578
   31   0.0861    -2.749869    -1.257023
   32   0.0889    -3.940209    -1.109831
   33   0.0917    -4.969531    -0.913129
   34   0.0944    -5.766468    -0.653446
   35   0.0972    -6.276424    -0.341554
   36   0.1000    -6.449577     0.001618
   37   0.1028    -6.273187     0.344664
   38   0.1056    -5.760249     0.653826
   39   0.1083    -4.965535     0.897638
   40   0.1111    -3.964973     1.054423
   41   0.1139    -2.856688     1.124590
   42   0.1167    -1.715794     1.125327
   43   0.1194    -0.606033     0.976578
   44   0.1222     0.237362     0.541456
   45   0.1250     0.476878    -0.114346
   46   0.1278     0.008669    -0.735313
   47   0.1306    -0.993748    -1.091758
   48   0.1333    -2.174846    -1.176737
   49   0.1361    -3.347223    -1.139897
   50   0.1389    -4.454641    -1.034887
   51   0.1417    -5.416996    -0.846126
   52   0.1444    -6.146893    -0.581003
   53   0.1472    -6.579002    -0.262176
   54   0.1500    -6.671246     0.081519
   55   0.1528    -6.415963     0.417521
   56   0.1556    -5.836204     0.714015
   57   0.1583    -4.987933     0.943574
   58   0.1611    -3.949057     1.087629
   59   0.1639    -2.812675     1.151706
   60   0.1667    -1.645645     1.139565
   61   0.1694    -0.533546     0.939704
   62   0.1722     0.233763     0.440649
   63   0.1750     0.347753    -0.235075
   64   0.1778    -0.236387    -0.817420
   65   0.1806    -1.287087    -1.112089
   66   0.1833    -2.460565    -1.165906
   67   0.1861    -3.618899    -1.121402
   68   0.1889    -4.703369    -1.003722
   69   0.1917    -5.626343    -0.798739
   70   0.1944    -6.300848    -0.519364
   71   0.1972    -6.665071    -0.190702
   72   0.2000    -6.682252     0.156531
   73   0.2028    -6.352010     0.489065
   74   0.2056    -5.704121     0.775521
   75   0.2083    -4.800968     0.989622
   76   0.2111    -3.724876     1.115869
   77   0.2139    -2.569231     1.165825
   78   0.2167    -1.393227     1.126014
   79   0.2194    -0.317202     0.862226
   80   0.2222     0.331225     0.303512
   81   0.2250     0.289821    -0.377508
   82   0.2278    -0.423791    -0.907898
   83   0.2306    -1.525975    -1.138921
   84   0.2333    -2.701633    -1.163379
   85   0.2361    -3.852733    -1.105394
   86   0.2389    -4.912422    -0.969123
   87   0.2417    -5.790978    -0.745893
   88   0.2444    -6.404208    -0.452935
   89   0.2472    -6.696849    -0.117247
   90   0.2500    -6.638702     0.229328
   91   0.2528    -6.238193     0.553676
   92   0.2556    -5.531349     0.825583
   93   0.2583    -4.587028     1.020609
   94   0.2611    -3.490131     1.128088
   95   0.2639    -2.330853     1.163822
   96   0.2667    -1.162488     1.089942
   97   0.2694    -0.150969     0.759673
   98   0.2722     0.356859     0.153031
   99   0.2750     0.155093    -0.516129
  100   0.2778    -0.675399    -0.983405
  101   0.2806    -1.811718    -1.153904
  102   0.2833    -2.983207    -1.154129
  103   0.2861    -4.119975    -1.081182
  104   0.2889    -5.145572    -0.925353
  105   0.2917    -5.970681    -0.684715
  106   0.2944    -6.515001    -0.379721
  107   0.2972    -6.730124    -0.038621
  108   0.3000    -6.592243     0.306233
  109   0.3028    -6.117659     0.621969
  110   0.3056    -5.348306     0.879132
  111   0.3083    -4.359394     1.054987
  112   0.3111    -3.238332     1.144674
  113   0.3139    -2.070046     1.163912
  114   0.3167    -0.910507     1.045753
  115   0.3194     0.021461     0.645708
  116   0.3222     0.380909     0.001050
  117   0.3250     0.023560    -0.643581
  118   0.3278    -0.906254    -1.043612
  119   0.3306    -2.063664    -1.161766
  120   0.3333    -3.229787    -1.142580
  121   0.3361    -4.348824    -1.053034
  122   0.3389    -5.335855    -0.877549
  123   0.3417    -6.103923    -0.620890
  124   0.3444    -6.577635    -0.305634
  125   0.3472    -6.715192     0.038952
  126   0.3500    -6.499731     0.379897
  127   0.3528    -5.955398     0.684927
  128   0.3556    -5.129877     0.925904
  129   0.3583    -4.103590     1.082733
  130   0.3611    -2.964412     1.157154
  131   0.3639    -1.789282     1.159031
  132   0.3667    -0.646349     0.990500
  133   0.3694     0.191717     0.526122
  134   0.3722     0.405896    -0.136209
  135   0.3750    -0.080702    -0.746518
  136   0.3778    -1.087140    -1.090911
  137   0.3806    -2.262524    -1.171990
  138   0.3833    -3.431120    -1.138421
  139   0.3861    -4.539367    -1.033821
  140   0.3889    -5.498762    -0.842053
  141   0.3917    -6.223473    -0.572276
  142   0.3944    -6.643314    -0.248800
  143   0.3972    -6.721073     0.098432
  144   0.4000    -6.446449     0.436164
