    0   0.0000     4.218428     0.000007
    1   0.0028     4.218442    -0.000471
    2   0.0056     4.217487    -0.000563
    3   0.0083     4.217316    -0.000783
    4   0.0111     4.215921    -0.000993
    5   0.0139     4.215330    -0.001261
    6   0.0167     4.213398    -0.001618
    7   0.0194     4.212093    -0.002220
    8   0.0222     4.208958    -0.002919
    9   0.0250     4.206255    -0.003853
   10   0.0278     4.201253    -0.005085
   11   0.0306     4.196085    -0.006916
   12   0.0333     4.187421    -0.009246
   13   0.0361     4.177593    -0.012407
   14   0.0389     4.162606    -0.016587
   15   0.0417     4.144420    -0.022454
   16   0.0444     4.117698    -0.030166
   17   0.0472     4.084089    -0.040721
   18   0.0500     4.036257    -0.054831
   19   0.0528     3.974426    -0.074326
   20   0.0556     3.887606    -0.100235
   21   0.0583     3.773956    -0.135676
   22   0.0611     3.616255    -0.183105
   23   0.0639     3.407747    -0.248570
   24   0.0667     3.119114    -0.335694
   25   0.0694     2.736358    -0.456266
   26   0.0722     2.206582    -0.607615
   27   0.0750     1.521129    -0.836111
   28   0.0778     0.534360    -1.177203
   29   0.0806    -0.833277    -1.399242
   30   0.0833    -2.264125    -1.377219
   31   0.0861    -3.587715    -1.257513
   32   0.0889    -4.779151    -1.111103
   33   0.0917    -5.809921    -0.914820
   34   0.0944    -6.608790    -0.655006
   35   0.0972    -7.119932    -0.342512
   36   0.1000    -7.293814     0.001445
   37   0.1028    -7.117043     0.345127
   38   0.1056    -6.603561     0.654499
   39   0.1083    -5.808045     0.897951
   40   0.1111    -4.807659     1.053902
   41   0.1139    -3.700241     1.123123
   42   0.1167    -2.561413     1.123222
   43   0.1194    -1.453796     0.974380
   44   0.1222    -0.612654     0.539729
   45   0.1250    -0.374338    -0.115119
   46   0.1278    -0.842893    -0.734804
   47   0.1306    -1.843947    -1.089880
   48   0.1333    -3.022653    -1.173710
   49   0.1361    -4.191367    -1.136231
   50   0.1389    -5.295116    -1.031260
   51   0.1417    -6.253887    -0.843059
   52   0.1444    -6.981233    -0.578492
   53   0.1472    -7.410871    -0.259663
   54   0.1500    -7.500559     0.084699
   55   0.1528    -7.241472     0.421611
   56   0.1556    -6.657336     0.718753
   57   0.1583    -5.803967     0.948533
   58   0.1611    -4.760270     1.092503
   59   0.1639    -3.618962     1.156264
