   3.15000              -21.661967
   3.15080              -21.662558
   3.15160              -21.663137
   3.15240              -21.663704
   3.15320              -21.664258
   3.15400              -21.664801
   3.15480              -21.665331
   3.15560              -21.665849
   3.15640              -21.666356
   3.15720              -21.666850
   3.15800              -21.667332
   3.15880              -21.667802
   3.15960              -21.668261
   3.16040              -21.668707
   3.16120              -21.669141
   3.16200              -21.669563
   3.16280              -21.669974
   3.16360              -21.670372
   3.16440              -21.670759
   3.16520              -21.671134
   3.16600              -21.671497
   3.16680              -21.671848
   3.16760              -21.672187
   3.16840              -21.672515
   3.16920              -21.672830
   3.17000              -21.673134
   3.17080              -21.673427
   3.17160              -21.673707
   3.17240              -21.673976
   3.17320              -21.674233
   3.17400              -21.674478
   3.17480              -21.674712
   3.17560              -21.674934
   3.17640              -21.675144
   3.17720              -21.675343
   3.17800              -21.675530
   3.17880              -21.675705
   3.17960              -21.675869
   3.18040              -21.676021
   3.18120              -21.676162
   3.18200              -21.676291
   3.18280              -21.676409
   3.18360              -21.676515
   3.18440              -21.676609
   3.18520              -21.676693
   3.18600              -21.676764
   3.18680              -21.676824
   3.18760              -21.676873
   3.18840              -21.676910
   3.18920              -21.676936
   3.19000              -21.676951
   3.19080              -21.676954
   3.19160              -21.676946
   3.19240              -21.676926
   3.19320              -21.676895
   3.19400              -21.676852
   3.19480              -21.676799
   3.19560              -21.676734
   3.19640              -21.676657
   3.19720              -21.676570
   3.19800              -21.676471
   3.19880              -21.676361
   3.19960              -21.676239
   3.20040              -21.676107
   3.20120              -21.675963
   3.20200              -21.675808
   3.20280              -21.675641
   3.20360              -21.675464
   3.20440              -21.675275
   3.20520              -21.675076
   3.20600              -21.674865
   3.20680              -21.674642
   3.20760              -21.674409
   3.20840              -21.674165
   3.20920              -21.673909
   3.21000              -21.673643
   3.21080              -21.673365
   3.21160              -21.673076
   3.21240              -21.672776
   3.21320              -21.672465
   3.21400              -21.672143
   3.21480              -21.671810
   3.21560              -21.671466
   3.21640              -21.671111
   3.21720              -21.670745
   3.21800              -21.670368
   3.21880              -21.669980
   3.21960              -21.669581
   3.22040              -21.669171
   3.22120              -21.668751
   3.22200              -21.668319
   3.22280              -21.667876
   3.22360              -21.667422
   3.22440              -21.666958
   3.22520              -21.666482
   3.22600              -21.665996
   3.22680              -21.665498
   3.22760              -21.664990
   3.22840              -21.664471
   3.22920              -21.663941
   3.23000              -21.663400
